Author,Title,Journal,Abstract,"Times Cited, WoS Core",Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study,,
"Croot, Karen; Lalas, George; Biedermann, Britta; Rastle, Kathleen; Jones, Kelly; Cholin, Joana",Syllable frequency effects in immediate but not delayed syllable naming in English,LANGUAGE COGNITION AND NEUROSCIENCE,"Syllable frequency effects in production tasks are interpreted as evidence that speakers retrieve precompiled articulatory programs for high frequency syllables from a mental syllabary. They have not been found reliably in English, nor isolated to the phonetic encoding processes during which the syllabary is thought to be accessed. In this experiment, 48 participants produced matched high- and novel/low-frequency syllables in a near-replication of Laganaro and Alario's [(2006) On the locus of the syllable frequency effect in speech production. Journal of Memory and Language, 55(2), 198-196, http://dx.doi.org/10.1016/j.jml.2006.05.001] production conditions: immediate naming, naming following an unfilled delay, and naming after delay filled by concurrent articulation. Immediate naming was faster for high frequency syllables, demonstrating a robust syllable frequency effect in English. There was no high frequency advantage in either delayed naming condition, leaving open the question of whether syllable frequency effects arise during phonological or phonetic encoding.",4,,2017,32,9,1119,1132,,10.1080/23273798.2017.1284340,1,1,replication in a different language,0,"Laganaro, M., & Alario, F. (2006). On the locus of the syllable frequency effect in speech production. Journal of Memory and Language, 55(2), 178–196. doi:10.1016/j.jml.2006.05.001",0,2006,11,0,1,1,0,0,0,conceptual,English (initial: French),NA,,,,
"Dupuis, Amanda; Berent, Iris",Signs are symbols: evidence from the Stroop task,Language Cognition and Neuroscience,"Most languages use spoken arbitrary symbols to access the conceptual system. Moreover, the link from spoken words to meaning is demonstrably automatic. Sign languages, by contrast, employ many iconic manual gestures. While some signs are arbitrary it is unclear whether such arbitrary signs automatically activate the conceptual system. To address this question, we examine the propensity of arbitrary colour signs in American Sign Language (ASL) to induce Stroop interference. Three experiments elicited colour naming of coloured videos depicting colour ASL signs - either congruent or incongruent with video colour - and an unrelated condition. Results showed that colour identification is modulated by its congruency with the ASL sign, and this finding replicated irrespective of response mode - signing vs. button-press - and the presence of congruent trials. These findings indicate that arbitrary signs automatically activate their meanings. We conclude that the capacity to link arbitrary phonological forms and meanings is an amodal design feature of language.",0,NOV 26,2015,30,10,1339,1344,,10.1080/23273798.2015.1069363,1,1,inner-paper replication,0,same,1,2015,0,0,0,0,0,1,0,partial,ASL,NA,,,,
"Heyselaar, Evelien; Peeters, David; Hagoort, Peter",Do we predict upcoming speech content in naturalistic environments?,LANGUAGE COGNITION AND NEUROSCIENCE,"The ability to predict upcoming actions is a hallmark of cognition. It remains unclear, however, whether the predictive behaviour observed in controlled lab environments generalises to rich, everyday settings. In four virtual reality experiments, we tested whether a well-established marker of linguistic prediction (anticipatory eye movements) replicated when increasing the naturalness of the paradigm by means of immersing participants in naturalistic scenes (Experiment 1), increasing the number of distractor objects (Experiment 2), modifying the proportion of predictable noun-referents (Experiment 3), and manipulating the location of referents relative to the joint attentional space (Experiment 4). Robust anticipatory eye movements were observed for Experiments 1-3. The anticipatory effect disappeared, however, in Experiment 4. Our findings suggest that predictive processing occurs in everyday communication if the referents are situated in the joint attentional space. Methodologically, our study confirms that ecological validity and experimental control may go hand-in-hand in the study of human predictive behaviour.",0,,,,,,,,10.1080/23273798.2020.1859568,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Hien Pham; Baayen, Harald",Vietnamese compounds show an anti-frequency effect in visual lexical decision,LANGUAGE COGNITION AND NEUROSCIENCE,"Although Vietnamese has a long history of linguistic research, as yet no psycholinguistic studies addressing lexical processing in this language have been carried out. This paper is the first to investigate lexical processing in Vietnamese, and this addresses the reading of Vietnamese bi-syllabic compound words. A large single-subject experiment with 20,000 words was complemented by a smaller multiple-subject experiment with 550 words. We report the novel finding of an inhibitory, anti-frequency effect of Vietnamese compounds' constituents. We show that this anti-frequency effect is predicted by a computational model of lexical processing grounded in naive discrimination learning. We also show that predictors derived from this model provide a much better fit to the observed reaction times than traditional lexical-distributional predictors. Effects of the density of the compound graph, previously observed for English, were replicated for Vietnamese. Furthermore, tone diacritics were found to be important predictors of silent reading, providing further evidence for the role of phonology in reading.",19,OCT 21,2015,30,9,1077,1095,,10.1080/23273798.2015.1054844,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Lowder, Matthew W.; Gordon, Peter C.",Eye-tracking and corpus-based analyses of syntax-semantics interactions in complement coercion,LANGUAGE COGNITION AND NEUROSCIENCE,"Previous work has shown that the difficulty associated with processing complex semantic expressions is reduced when the critical constituents appear in separate clauses as opposed to when they appear together in the same clause. We investigated this effect further, focusing in particular on complement coercion, in which an event-selecting verb (e.g. began) combines with a complement that represents an entity (e.g. began the memo). Experiment 1 compared reading times for coercion versus control expressions when the critical verb and complement appeared together in a subject-extracted relative clause (SRC) (e.g. The secretary that began/wrote the memo) compared to when they appeared together in a simple sentence. Readers spent more time processing coercion expressions than control expressions, replicating the typical coercion cost. In addition, readers spent less time processing the verb and complement in SRCs than in simple sentences; however, the magnitude of the coercion cost did not depend on sentence structure. In contrast, Experiment 2 showed that the coercion cost was reduced when the complement appeared as the head of an object-extracted relative clause (ORC) (e.g. The memo that the secretary began/wrote) compared to when the constituents appeared together in an SRC. Consistent with the eye-tracking results of Experiment 2, a corpus analysis showed that expressions requiring complement coercion are more frequent when the constituents are separated by the clause boundary of an ORC compared to when they are embedded together within an SRC. The results provide important information about the types of structural configurations that contribute to reduced difficulty with complex semantic expressions, as well as how these processing patterns are reflected in naturally occurring language.",2,,2016,31,7,921,939,,10.1080/23273798.2016.1183798,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Lowder, Matthew W.; Maxfield, Nathan D.; Ferreira, Fernanda",Processing of self-repairs in stuttered and non-stuttered speech,LANGUAGE COGNITION AND NEUROSCIENCE,"Previous research suggests that listeners can use the presence of speech disfluencies to predict upcoming linguistic input. But how is the processing of typical disfluencies affected when the speaker also produces atypical disfluencies, as in the case of stuttering? We addressed this question in a visual-world eye-tracking experiment in which participants heard self-repair disfluencies while viewing displays that contained a predictable target entity. Half the participants heard the sentences spoken by a speaker who stuttered, and half heard the sentences spoken by the same speaker who produced the sentences without stuttering. Results replicated previous work in demonstrating that listeners engage in robust predictive processing when hearing self-repair disfluencies. Crucially, the magnitude of the prediction effect was reduced when the speaker stuttered compared to when the speaker did not stutter. Overall, the results suggest that listeners' ability to model the production system of a speaker is disrupted when the speaker stutters.",2,JAN 2,2020,35,1,93,105,,10.1080/23273798.2019.1628284,1,1,replication of previous experiment by the same authors,1,"Lowder MW, & Ferreira F (2016b). Prediction in the processing of repair disfluencies: Evidence from the visual-world paradigm. Journal of Experimental Psychology: Learning, Memory, and Cognition, 42, 1400–1416. doi: 10.1037/xlm0000256",1,2016,4,0,0,0,0,0,0,direct,English,1,,,,
"Nenadic, Filip; Tucker, Benjamin V.",Computational modelling of an auditory lexical decision experiment using jTRACE and TISK,LANGUAGE COGNITION AND NEUROSCIENCE,"We present a series of computational simulations of the auditory lexical decision task using the jTRACE and TISK models of spoken word recognition. Simulation 1 replicates high accuracy in word recognition and similar performance of these models using the small, default dictionary. Simulation 2 expands the set of words and phonemes, leading to issues in representing certain phonemes in jTRACE. Simulation 3 expands the lexicon of competitors and we find that TISK struggles to select the target word as the winner. Finally, Simulation 4 shows that the decision criteria employed leads to many false positives when pseudowords are presented to the model. None of the model estimates of the time cycle when the winner should be selected predicted participant response latency in the auditory lexical decision task. We discuss these findings and offer suggestions as to what a contemporary model of spoken word recognition should be able to do.",0,DEC 1,2020,35,10,1326,1354,,10.1080/23273798.2020.1764600,0,0,computational simulations,0,,,,NA,,,,,,,NA,,NA,,,,
"New, Boris; Nazzi, Thierry",The time course of consonant and vowel processing during word recognition,LANGUAGE COGNITION AND NEUROSCIENCE,"In a recent study using a masked priming lexical decision task, New, Araujo, and Nazzi found priming of targets by primes sharing consonants (jalu-JOLI) but not by primes sharing vowels (vobi-JOLI). To examine the orthographic or phonological/lexical nature of this consonantal bias, and to determine whether vocalic priming can be obtained under different presentation conditions, we manipulated the duration of prime presentation. Experiment 1 examined masked priming effects for consonant-or vowel-related primes with 33 ms prime durations, while Experiments 2 and 3 examined masked priming effects with longer prime processing times (66 ms or 50 + 16 ms). Results replicated the relative advantage of consonant over vocalic priming, and established that the consonant bias was not at the orthographic level but rather at the phonological and lexical levels. Furthermore, primes sharing vowels with the target showed inhibition for longer processing times. The implications of these findings for models of visual word recognition are discussed.",23,,2014,29,2,147,157,,10.1080/01690965.2012.735678,1,1,replication of previous experiment by the same authors,0,"New, B., Arau`jo, V., & Nazzi, T. (2008). Differential processing of consonants and vowels in lexical access through reading. Psychological Science, 19, 1223 1227. doi:10.1111/j.1467-9280.2008.02228.x",1,2008,6,0,0,0,0,1,0,partial,French,NA,,,,
"Patson, Nikole D.; Warren, Tessa",Comparing the roles of referents and event structures in parsing preferences,LANGUAGE COGNITION AND NEUROSCIENCE,"Recent work has shown that potentially reciprocal verbs are interpreted reciprocally when their subjects are complex reference objects (plural referents that incorporate multiple referents), but transitively when their subjects are undifferentiated plural sets. Four self-paced reading experiments investigated why this is the case. The experiments contrasted the hypothesis that the parser's behaviour is driven by the complexity or specificity of potential event structures with the hypothesis that what matters is simply the availability of multiple referents. First we replicated Patson & Ferreira's Experiment 1 with self-paced reading, and then in three studies we manipulated the conjuncts within a conjoined noun phrase (NP) subject (e. g. the men and the women vs. the man and the women) in order to vary event structures. The results indicated that potentially reciprocal verbs were interpreted as reciprocal with any conjoined subject, regardless of what type of NPs comprised it. This suggests that the parser is sensitive specifically to the presence of referents, not to the relative complexity or specificity of the event structure that could be built based on those referents. These findings are consistent with Patson and Ferreira's hypothesis that available referents matter because they immediately saturate the thematic roles of reciprocal verbs.",4,,2014,29,4,408,423,,10.1080/01690965.2013.788197,1,1,one of several experiments is a replication; replication of previous experiment by the same authors,0,"Patson, N. D., & Ferreira, F. (2009). Conceptual plural information is used to guide early parsing decisions: Evidence from garden-path sentences with reciprocal verbs. Journal of Memory and Language, 60(4), 464 486. doi:10.1016/j.jml.2009.02.003",1,2009,5,0,0,0,0,0,0,direct,English,1,,,,
"Reifegerste, Jana; Meyer, Antje S.; Zwitserlood, Pienie",Inflectional complexity and experience affect plural processing in younger and older readers of Dutch and German,LANGUAGE COGNITION AND NEUROSCIENCE,"According to dual-route models of morphological processing, regular inflections can be retrieved as whole-word forms or decomposed into morphemes. Baayen, Dijkstra, and Schreuder [(1997). Singulars and plurals in Dutch: Evidence for a parallel dual-route model. Journal of Memory and Language, 37, 94-117. doi:10.1006/jmla.1997.2509] proposed a dual-route model in which singular-dominant plurals (brides) are decomposed, while plural-dominant plurals (peas) are accessed as whole-word units. We report two lexical-decision experiments investigating how plural processing is influenced by participants' age and morphological complexity of the language (German/Dutch). For all Dutch participants and older German participants, we replicated the interaction between number and dominance reported by Baayen and colleagues. Younger German participants showed a main effect of number, indicating decomposition of all plurals. Access to stored forms seems to depend on morphological richness and experience with word forms. The data pattern fits neither full-decomposition nor full-storage models, but is compatible with dual-route models.",7,,2017,32,4,471,487,,10.1080/23273798.2016.1247213,1,1,replication in a different language,1,"Baayen, R. H., Dijkstra, T., & Schreuder, R. (1997). Singulars and plurals in Dutch: Evidence for a parallel dual-route model. Journal of Memory and Language, 37, 94–117. doi:10.1006/jmla.1997.2509",0,1997,20,0,1,0,0,0,0,partial,"Dutch, German",NA,,,,
"Tomoschuk, Brendan; Ferreira, Victor S.; Gollan, Tamar H.",Translation distractors facilitate production in single- and mixed-language picture naming,LANGUAGE COGNITION AND NEUROSCIENCE,"In the picture-word interference (PWI) task, semantically related distractors slow production, while translation-equivalent distractors speed it, possibly implying a language-specific bilingual production system [Costa, A., Miozzo, M., & Caramazza, A. (1999). Lexical selection in bilinguals: Do words in the bilingual's two lexicons compete for selection? Journal of Memory and Language, 41(3), 365-397. https://doi.org/10.1006/jmla.1999.2651]. However, in most previous PWI studies bilinguals responded in just one language, an artificial task restriction. We investigated translation facilitation effects in PWI with language switching. Spanish-English bilinguals named pictures in single- or mixed-language-response blocks, with superimposed distractors in the target language (Experiment 1), or in the non-target language (Experiment 2). Both experiments replicated previously reported translation facilitation effects in both single-language and mixed-language-response blocks. However, language dominance was reversed in mixed-language response blocks, implying inhibition of the dominant language and competition between languages. These results may be explained by a language non-specific selection model in which bilinguals do not restrict selection to one language, with translation facilitation being caused by facilitation at the semantic level offsetting competition at the lexical level.",0,,,,,,,,10.1080/23273798.2020.1852291,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Viebahn, Malte C.; Luce, Paul A.",Where is the disadvantage for reduced pronunciation variants in spoken-word recognition? On the neglected role of the decision stage in the processing of word-form variation,LANGUAGE COGNITION AND NEUROSCIENCE,"This study examines the role of the decision stage in the recognition of reduced pronunciation variants, specifically variants produced with nasal flaps (e.g. counter produced as couner). We investigate whether the previously reported disadvantage for nasally flapped variants is located at an early perceptual processing stage or at a post-perceptual decision stage. Experiment 1 replicates the variant effect with a lexical decision task. Experiment 2 uses the psychological refractory period paradigm, suggesting that the variant effect is located at a stage that requires central processing resources. Experiment 3 employed the shadowing task, indicating a significantly smaller variant effect compared to the lexical decision task. In concert, our results suggest that the disadvantage for nasally flapped variants has at least in part a decisional locus, which challenges representational and perceptual accounts of the effect. A mechanism is discussed that describes how decisional factors could cause the disadvantage for reduced variants.",0,APR 2,2020,35,3,339,359,,10.1080/23273798.2019.1659987,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Wang, Man; Chen, Yiya; Jiang, Minghu; Schiller, Niels O.","The time course of speech production revisited: no early orthographic effect, even in Mandarin Chinese",LANGUAGE COGNITION AND NEUROSCIENCE,"Most psycholinguistic models of speech production agree on an earlier semantic processing stage and a later word-form encoding stage. Using a logographic language, Mandarin Chinese, Zhang and Weekes [2009. Orthographic facilitation effects on spoken word production: Evidence from Chinese.Language and Cognitive Processes,24(7-8), 1082-1096.] reported an early effect of orthography in a picture-word-interference study and suggested orthography affects speech production via a lexical-semantic pathway at an early stage. This early orthographic effect without co-occurrence of phonological effect, however, was not replicated [Zhao, La Heij, & Schiller,2012. Orthographic and phonological facilitation in speech production: New evidence from picture naming in Chinese.Acta Psychologica,139(2), 272-280.]. The present study aimed to dissociate further the semantic and phonological representations from orthography by using simplex Chinese characters. The results of Experiment 1 and 2 revealed an orthographic effect but only at a similar point in time as the phonological effect, both of which followed the semantic effect. Our results thus raise further doubts about the role of orthography at the conceptual level of speech planning and lend new evidence to a two-step model of speech production.",0,DEC 30,2020,36,1,13,24,,10.1080/23273798.2020.1803373,1,0,reporting a replication failure,0,,,,NA,,,,,,,NA,,NA,,,,
"Yamasaki, Brianna L.; Stocco, Andrea; Prat, Chantel S.",Relating individual differences in bilingual language experiences to executive attention,LANGUAGE COGNITION AND NEUROSCIENCE,"While bilinguals differ from monolinguals in brain structure and function, the extent to which these differences impact non-linguistic cognitive abilities remains debated. The current set of experiments was motivated by the view that all language experiences don't impact executive attention equally. Driven by contemporary hypotheses on the neurocognitive basis of bilingual language control, four characteristics of bilingualism (patterns of language use, similarity, proficiency, and age of acquisition) were related to performance on the Attentional Blink (AB) task. While not replicated in Experiment 2, results from Experiment 1 and a combined group analysis demonstrated that more balanced first- and second-language use and more distantly related languages were predictive of smaller ABs. In follow-up analyses, smaller ABs were associated with better Simon task performance across both experiments. These findings highlight the utility of an individual differences approach.",9,,2018,33,9,1128,1151,,10.1080/23273798.2018.1448092,1,1,inner-paper replication,0,same,1,2018,0,0,1,0,0,1,0,conceptual,bilinguals with different main languages,NA,,,,
"Yu, Lili; Cutter, Michael G.; Yan, Guoli; Bai, Xuejun; Fu, Yu; Drieghe, Denis; Liversedge, Simon P.",Word n+2 preview effects in three-character Chinese idioms and phrases,LANGUAGE COGNITION AND NEUROSCIENCE,"Prior research using the boundary paradigm suggests that Chinese readers only process word n+2 in the parafovea when word n+1 is a single character, high-frequency word. We attempted to replicate these findings (Experiment 1), and investigated whether greater n+2 preview effects are observed when word n+1 and n+2 form an idiom rather than a phrase (Experiment 2). Experiment 1 replicated prior findings, although additional analyses of word n+1 and n+2 as a single region revealed significant preview effects regardless of word n+1 frequency. In Experiment 2 there was a main effect of phrase type, such that idioms were read more quickly than phrases, and significant n+2 preview effects. There was no interaction between these variables, suggesting that idioms are not parafoveally processed to a greater extent than phrases. These results suggest that n+2 preview effects in Chinese occur under several circumstances. Factors influencing the observation of these effects are discussed.",3,,2016,31,9,1130,1149,,10.1080/23273798.2016.1197954,1,1,one of several experiments is a replication; replication of previous experiment by the same authors,1,"Yang, J., Wang, S., Xu, Y., & Rayner, K. (2009). Do chinese readers obtain preview benefit from word n+2? Evidence from eye movements. Journal of Experimental Psychology: Human Perception and Performance, 35, 1192-1204. doi: 10.1037/a0013554",0,2009,7,0,0,0,0,0,0,direct,Chinese,1,,,,
"Barzilai, Maya L.",Templaticity Effects on Differential Processing of Consonants and Vowels,LABORATORY PHONOLOGY,"The aim of this study is to investigate the role of morphophonology and written representations in speech processing. Results are presented from an immediate serial recall (ISR) study, designed to determine the relative effects of L1 morphology and orthography on the recall of consonants versus vowels. Forty-five speakers of English, Amharic, and Arabic completed an ISR experiment testing the differential recall of these two segment types. English speakers remembered sequences of syllables in which the consonant is held constant and the vowel changes (e.g., ma mi mu.) better than sequences in which the vowel is held constant and the consonant changes (e.g., ka ma za.), whereas Arabic speakers remembered both types of sequences equally well, replicating findings from Kissling (2012). Crucially, Amharic speakers in this study performed similarly to Arabic speakers, remembering both sequence types with equal accuracy. Given that Amharic and Arabic share a templatic morphological system, this new result suggests that the morphophonology of a listener's L1 impacts ISR. English and Amharic share similar orthographic systems; the mean accuracies of English and Amharic speakers were significantly different, and it therefore appears that orthography of the L1 does not affect recall accuracy. The results have implications for the role of the morphophonology of a given speaker's L1 in ISR and in speech processing more generally.",0,OCT 17,2019,10,1,,,17,10.5334/labphon.180,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Ito, Kiwako; Turnbull, Rory; Speer, Shari R.",Allophonic tunes of contrast: Lab and spontaneous speech lead to equivalent fixation responses in museum visitors,LABORATORY PHONOLOGY,"A prominent pitch accent is known to trigger immediate contrastive interpretation of the accented referential expression. Previous experimental demonstrations of this effect, where [L+H* unaccented] contours led to an increase in earlier responses than [H*!H*] contours in -contrastive context, may have benefited from the use of laboratory speech with stylized, -homogenous pitch contours as well as data collected from a uniform participant group-college students. The -present study tested visitors to a science museum, who better represent the - general public, comparing lab and spontaneous speech to replicate the contrast-evoking effect of prominent pitch accent. Across two eye-tracking experiments where participants followed spoken instructions to decorate Christmas trees, spontaneous two-word [L+H* unaccented] contours led to faster eye-movements to contrastive ornament sets than [H*!H*] contours with no delay as compared to lab speech. The differences in the fixation functions were overall smaller than those in a previous study that used clear lab speech in richer contexts. Detailed acoustic analyses indicated that the lab speech tune types were distinguishable by any of several independent F0 measures on the adjective and by F0 slope. In contrast, no single phonetic measure on the spontaneous speech adjective distinguished between tune types, which were best classified according to independent noun-based measures. However, a non-linear c-ombination of the adjective measures was shown to be equal to the noun measures in distinguishing between the [H*!H*] and [L+H* unaccented] tunes. The eye-movement data suggest that naive listeners were comparably sensitive to both lab and spontaneous prosodic cues on the adjective and made anticipatory eye-movements accordingly.",0,APR 4,2017,8,1,,,,10.5334/labphon.86,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Tjuka, Annika; Huong Thi Thu Nguyen; Spalek, Katharina","Foxes, deer, and hedgehogs: The recall of focus alternatives in Vietnamese",LABORATORY PHONOLOGY,"In tonal languages, the role of intonation in information-structuring has yet to be fully investigated. Intuitively, one would expect intonation to play only a small role in expressing communicative functions. However, experimental studies with Vietnamese native speakers show that intonation contours vary across different contexts and are used to mark certain types of information, for example, focus (Jannedy, 2007). In non-tonal languages (e.g., English), the marking of focus by intonation can influence the processing of focus alternatives (Fraundorf, Watson, & Benjamin, 2010). If Vietnamese also uses intonation to mark focus, the question arises whether the behavioral consequences of prosodic focus marking in Vietnamese are comparable to languages such as English or German. To test this, we replicate a study on memory for focus alternatives, originally carried out in German (Koch & Spalek, in progress), with Vietnamese language stimuli. In the original study, memory for focus alternatives was improved in a delayed recall task for focused elements produced with contrastive intonation in female speakers. Here, we replicate this finding with Northern Vietnamese native speakers: Contrastive intonation seems to improve later recall for focus alternatives in Northern Vietnamese, but only for female participants, in line with the findings by Koch and Spalek (in progress). These results indicate that prosodic focus marking in Vietnamese makes alternatives to the focused element more salient.",1,OCT 26,2020,11,1,,,16,10.5334/labphon.253,1,1,replication in a different language,1,"Koch, X., & Spalek, K. (in progress). Contrastive intonation effects on word recall for information-structural alternatives.",,NA,NA,0,1,1,0,0,1,conceptual,Vietnamese (previously German),NA,,,,
"Bergelson, Elika; Swingley, Daniel",Early Word Comprehension in Infants: Replication and Extension,LANGUAGE LEARNING AND DEVELOPMENT,"A handful of recent experimental reports have shown that infants of 6-9 months know the meanings of some common words. Here, we replicate and extend these findings. With a new set of items, we show that when young infants (age 6-16 months, n = 49) are presented with side-by-side video clips depicting various common early words, and one clip is named in a sentence, they look at the named video at above-chance rates. We demonstrate anew that infants understand common words by 6-9 months and that performance increases substantially around 14 months. The results imply that 6-to 9-month-olds' failure to understand words not referring to objects (verbs, adjectives, performatives) in a similar prior study is not attributable to the use of dynamic video depictions. Thus, 6-to 9-month-olds' experience of spoken language includes some understanding of common words for concrete objects, but relatively impoverished comprehension of other words.",25,,2015,11,4,369,380,,10.1080/15475441.2014.979387,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Feiman, Roman; Mody, Shilpa; Sanborn, Sophia; Carey, Susan","What Do You Mean, No? Toddlers' Comprehension of Logical No and Not",LANGUAGE LEARNING AND DEVELOPMENT,"For adults, no and not change the truth-value of sentences they compose with. To investigate children's emerging understanding of these words, an experimenter hid a ball in a bucket or a truck, then gave an affirmative or negative clue (Experiment 1: It's not in the bucket; Experiment 2: Is it in the bucket?; No, it's not). Replicating Austin, Theakston, Lieven, & Tomasello (2014), children only understood logical no and not after age two, long after they say no but around the time they say not and use both words to deny statements. To investigate whether this simply reflects improving inhibitory control, in Experiment 3 we showed children that one container did or did not hold the ball. Twenty-month-olds now succeeded. We discuss two possible factors limiting learning both no and not-a purely linguistic difficulty learning the labels, and the possibility that negation is unavailable to thought before age two.",13,,2017,13,4,430,450,,10.1080/15475441.2017.1317253,1,1,inner-paper replication,0,same,1,2017,0,0,0,0,0,0,1,partial,English,NA,,,,
"Gerken, LouAnn; Quam, Carolyn; Goffman, Lisa",Adults Fail to Learn a Type of Linguistic Pattern that is Readily Learned by Infants,LANGUAGE LEARNING AND DEVELOPMENT,"Beginning with the classic work of Shepard, Hovland, & Jenkins (1961), Type II visual patterns (e.g., exemplars are large white squares OR small black triangles) have held a special place in investigations of human learning. Recent research on Type II linguistic patterns has shown that they are relatively frequent across languages and more frequent than Type IV family resemblance patterns (e.g., exemplars have 2 out of 3 defining features). Research has also shown that human infants are adept at learning Type II patterns from very few exemplars, but adult learning appears to be more mixed. Because no study had directly compared adults and infants, Experiment 1 tested both groups on the same input and test stimuli. Adults at best showed weak learning of one of two Type II patterns, but infants showed robust learning of both patterns. Experiment 2 contrasted adults' ability to learn a Type II pattern with a Type IV pattern. Adults only showed learning of the latter, replicating previous research with different stimuli and testing procedures. Thus, adults are unable to learn a frequent linguistic pattern, one readily learned by infants. Implications for possible language learning differences between infants and adults are discussed.",1,,2019,15,4,279,294,,10.1080/15475441.2019.1617149,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"He, Angela Xiaoxue; Kon, Maxwell; Arunachalam, Sudha",Linguistic Context in Verb Learning: Less is Sometimes More,LANGUAGE LEARNING AND DEVELOPMENT,"Linguistic contexts provide useful information about verb meanings by narrowing the space of candidate concepts. Intuitively, the more information, the better. For example, ?the tall girl is fezzing,? as compared to ?the girl is fezzing,? provides more information about which event, out of multiple candidate events, is being labeled; thus, we may expect it to better facilitate verb learning. However, we find evidence to the contrary: in a verb learning study, preschoolers (N?=?60, mean age?=?38?months) only performed above chance when the subject was an unmodified determiner phase, but not when it was modified (Experiment 1). Experiment 2 replicated this pattern with a different set of stimuli and a wider age range (N?=?60, mean age?=?45?months). Further, in Experiment 2, we looked at both learning outcomes?by evaluating pointing responses at Test, and also the learning process?by tracking eye gaze during Familiarization. The results suggest that children?s limited processing abilities are to blame for poor learning outcomes, but that a nuanced understanding of how processing affects learning is required.",1,JAN 2,2020,16,1,22,42,,10.1080/15475441.2019.1676751,1,1,inner-paper replication,1,same,1,2020,0,0,1,1,1,1,0,conceptual,English,NA,,,,
"Nordmeyera, Ann E.; Frank, Michael C.",Early Understanding of Pragmatic Principles in Children's Judgments of Negative Sentences,LANGUAGE LEARNING AND DEVELOPMENT,"Adults find negative sentences difficult to process, but an informative context can facilitate processing substantially, suggesting that much of this difficulty may come from the pragmatics of negation. Are children sensitive to the pragmatics of negation as well? Although children perform poorly on many tests of negation comprehension, we argue that these past findings are due to children's sensitivity to general pragmatic principles that govern communication, rather than the conceptual difficulty of negation. In Experiment 1, replicating previous work, we found that adults rated negative sentences as more felicitous in more informative contexts. In Experiment 2, we showed that children are also sensitive to the contexts of true negative sentences, with three- and four-year-olds also rating true negative sentences higher in more informative contexts. We discuss children's understanding of negation and pragmatics in light of these results, arguing that the felicity of negative sentences for both adults and children is determined by the informativeness of these sentences in context.",1,,2018,14,4,262,278,,10.1080/15475441.2018.1463850,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Unal, Ercenur; Papafragou, Anna",How Children Identify Events from Visual Experience,LANGUAGE LEARNING AND DEVELOPMENT,"Three experiments explored how well children recognize events from different types of visual experience: either by directly seeing an event or by indirectly experiencing it from post-event visual evidence. In Experiment 1, 4- and 5- to 6-year-old Turkish-speaking children (n = 32) successfully recognized events through either direct or indirect visual access. In Experiment 2, a new group of 4- and 5- to 6-year-olds (n = 37) reliably attributed event recognition to others who had direct or indirect visual access to events (even though performance was lower than Experiment 1). In both experiments, although children's accuracy improved with age, there was no difference between the two types of access. Experiment 3 replicated the findings from the youngest participants of Experiments 1 and 2 with a matched sample of English-speaking 4-year-olds (n = 37). Thus children can use different kinds of visual experience to support event representations in themselves and others.",3,,2019,15,2,138,156,,10.1080/15475441.2018.1544075,1,1,inner-paper replication,0,same,1,2019,0,0,1,1,0,0,0,conceptual,English (previously Turkish),NA,,,,
