Author,Title,Journal,Abstract,"Times Cited, WoS Core", ,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,journal of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study until incl. 2020 (retrieved: 16.08.2021),citation count until replication study was published (retrieved: 16.08.2021)
"Miller, Krista A.; Raney, Gary E.; Demos, Alexander P.",Time toThrow in the Towel? No Evidence for Automatic Conceptual Metaphor Access in Idiom Processing,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"The goal of the current research was to determine if conceptual metaphors are activated when people read idioms within a text. Participants read passages that included idioms that were consistent (blow your top) or inconsistent (bite his head off) with an underlying conceptual metaphor (ANGER IS HEATED FLUID IN A CONTAINER) followed by target words that were related (heat) or unrelated (lead) to the conceptual metaphor. Reading time (Experiment 1) or lexical decision time (Experiment 2) for the target words were measured. We found no evidence supporting conceptual metaphor activation. Target word reading times were unaffected by whether they were related or unrelated to underlying conceptual metaphors. Lexical decision times were facilitated for related target words in both the consistent and inconsistent idiom conditions. We suggest that the conceptual (target) domain, not a specific underlying conceptual metaphor, facilitates processing of related target words.",0,OCT,2020,49,5,885,913,,10.1007/s10936-020-09728-1,1,1,one of several experiments is a replication,0,"Gibbs, R. W., Bogdanovich, J. M., Sykes, J. R., & Barr, D. J. (1997). Metaphor in idiom comprehension. Journal of Memory and Language, 37, 141â€“154.",Journal of Memory and Language,0,1997,23,0,0,1,0,1,0,conceptual,English,NA,0,118,118
"Oettl, Birgit; Jaeger, Gerhard; Kaup, Barbara",The Role of Simple Semantics in the Process of Artificial Grammar Learning,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"This study investigated the effect of semantic information on artificial grammar learning (AGL). Recursive grammars of different complexity levels (regular language, mirror language, copy language) were investigated in a series of AGL experiments. In the with-semantics condition, participants acquired semantic information prior to the AGL experiment; in the without-semantics control condition, participants did not receive semantic information. It was hypothesized that semantics would generally facilitate grammar acquisition and that the learning benefit in the with-semantics conditions would increase with increasing grammar complexity. Experiment 1 showed learning effects for all grammars but no performance difference between conditions. Experiment 2 replicated the absence of a semantic benefit for all grammars even though semantic information was more prominent during grammar acquisition as compared to Experiment 1. Thus, we did not find evidence for the idea that semantics facilitates grammar acquisition, which seems to support the view of an independent syntactic processing component.",0,OCT,2017,46,5,1285,1308,,10.1007/s10936-017-9494-y,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,0,,
"Pinango, Maria Mercedes; Aaron Winnick; Ullah, Rashad; Zurif, Edgar",Time-course of semantic composition: The case of aspectual coercion,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"We examine the time-course of semantic structure formation during real-time sentence comprehension. We do this through the lens of aspectual coercion, a semantic combinatorial operation that lacks morpho-syntactic reflections, yet is indispensable for sentence interpretation. We describe two experiments. Experiment 1 replicates the results of a previously published study (Pinango, Zurif, & Jackendoff, Journal of Psycholinguistic Research, 28(4), 395-414 1999) showing that the cost of implementing aspectual coercion is detectable as late as 250 ms after the operation is licensed. Experiment 2 expands the window of observation by revealing that the implementation of aspectual coercion is not detectable immediately upon its being licensed, that is, at the point at which the syntactic representation is assumed to be fully formed. These findings suggest a dissociation in the integration of information, in which semantic composition-even mandatory and automatic semantic composition-takes time to develop after it is syntactically licensed to do so.",43,MAY,2006,35,3,233,244,,10.1007/s10936-006-9013-z,1,1,one of several experiments is a replication,0,"PiÃ±ango, M. M., Zurif, E., & Jackendoff, R. (1999). Real-time processing implications of enriched composition at the syntax-semantics interface. Journal of Psycholinguistic Research, 28(4), 395â€“414.",Journal of Psycholinguistic Research,1,1999,7,0,0,0,0,0,0,direct,English,1,43,66,21
"Rakosi, Csilla",Dealing with the Conflicting Results of Psycholinguistic Experiments: How to Resolve Them with the Help of Statistical Meta-analysis,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"This paper proposes the use of the tools of statistical meta-analysis as a method of conflict resolution with respect to experiments in cognitive linguistics. With the help of statistical meta-analysis, the effect size of similar experiments can be compared, a well-founded and robust synthesis of the experimental data can be achieved, and possible causes of any divergence(s) in the outcomes can be revealed. This application of statistical meta-analysis offers a novel method of how diverging evidence can be dealt with. The workability of this idea is exemplified by a case study dealing with a series of experiments conducted as non-exact replications of Thibodeau and Boroditsky (PLoS ONE 6(2):e16782, 2011. https://doi.org/10.1371/journal.pone.0016782).",1,AUG,2018,47,4,777,801,,10.1007/s10936-018-9558-7,0,0,meta-level; case study,1,,,,,NA,,,,,,,NA,,NA,1,,
"Rakosi, Csilla",Replication of Psycholinguistic Experiments and the Resolution of Inconsistencies,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"Non-exact replications are regarded as effective tools of problem solving in psycholinguistic research because they lead to more plausible experimental results; however, they are also ineffective tools of problem solving because they trigger cumulative contradictions among different replications of an experiment. This paper intends to resolve this paradox by putting forward a metatheoretical model that clarifies the criteria with the help of which various aspects of the effectiveness of the problem solving process can be differentiated and evaluated. The key point is the reconstruction of the relationship between original experiments and their non-exact replications by introducing the concept of 'experimental complex' and analysing the problem solving strategies that the researchers apply. The workability of the proposed metatheoretical model is illustrated with the help of three case studies.",6,OCT,2017,46,5,1249,1271,,10.1007/s10936-017-9492-0,0,0,meta-level; Philosophy of Science,1,,,,,NA,,,,,,,NA,,NA,6,,
"Rigalleau, Francois; Guerry, Michele; Granjon, Lionel",The Effect of Connectives on the Selection of Arguments: Implicit Consequentiality Bias for the Connective but,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"Recent studies about the implicit causality of inter-personal verbs showed a symmetric implicit consequentiality bias for psychological verbs. This symmetry is less clear for action verbs because the verbs assigning the implicit cause to the object argument (e.g. Peter protected John because he was in danger.) tend to assign the implicit consequence to the same argument (e.g. Peter protected John so he was not hurt.). We replicated this result by comparing continuations of inter-personal events followed by a causal connective because or a consequence connective so. Moreover, we found similar results when the consequence connective was replaced by a contrastive connective but. This result was confirmed in a second experiment where we measured the time required to imagine a consistent continuation for a fragment finishing with but s/he .... The results were consistent with a contrastive connective introducing a denial of a consequence of the previous event. The results were consistent with a model suggesting that thematic roles and connectives can predict preferred co-reference relations.",4,AUG,2014,43,4,465,485,,10.1007/s10936-013-9265-3,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,4,,
"Schmauder, AR",Ability to stand alone and processing of open-class and closed-class words: Isolation versus context,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"Four experiments investigating processing of closed-class and open-class words in isolation and in sentence contexts are reported. Taft (1990) reported that closed-class words which could not meaningfully stand alone and open-class words which could not meaningfully stand alone incurred longer lexical decision responses than did control words. Taft also reported that closed-class and open-class words which could stand alone meaningfully were not associated with longer lexical decision responses than were control words. Experiments 1 and 2 replicated Taft's effect of ability to stand alone on lexical decision responses to closed-class and open-class words presented in isolation. In Experiments 3 and 4, the same lexical decision targets were presented as part of semantically neutral context sentences in a moving window paradigm. The stand-alone effect was not present in Experiments 3 and 4. The results suggest Taft's conclusion that meaningfulness of a word influences lexical needs revision. An explanation is provided according to which support from message level and syntactic and lexical sources in sentence context influence words' perceived ''meaningfulness.''",6,JUL,1996,25,4,443,481,,,1,1,replication in a different language; one of several experiments is a replication,0,"Taft, M. (1990). Lexical processing of functionally constrained words. Journal of Memory and Language, 29, 245-257.",Journal of Memory and Language,0,1990,6,0,1,0,0,0,0,partial,American English (initial: Australian English),NA,6,14,4
"Schneider, Cosima; Bade, Nadine; Janczyk, Markus",Is Immediate Processing of Presupposition Triggers Automatic or Capacity-Limited? A Combination of the PRP Approach with a Self-Paced Reading Task,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"Informally speaking, presuppositions are meaning components which are part of the common ground for speakers in a conversation, that is, background information which is taken for granted by interlocutors. The current literature suggests an immediate processing of presuppositions, starting directly on the word triggering the presupposition. In the present paper, we focused on two presupposition triggers in German, the definite determiner the (German der) and the iterative particle again (German wieder). Experiment 1 replicates the immediate effects which were previously observed in a self-paced reading study. Experiment 2 then investigates whether this immediate processing of presuppositions is automatic or capacity-limited by employing the psychological refractory period approach and the locus of slack-logic, which have been successfully employed for this reason in various fields of cognitive psychology. The results argue against automatic processing, but rather suggest that the immediate processing of presuppositions is capacity-limited. This potentially helps specifying the nature of the involved processes; for example, a memory search for a potential referent.",3,APR,2020,49,2,247,273,,10.1007/s10936-019-09686-3,1,1,one of several experiments is a replication,1,"Tiemann, S., Schmid, M., Bade, N., Rolke, B., Hertrich, I., Ackermann, H., et al. (2011). Psycholinguistic evidence for presuppositions: On-line and off-line data. Proceedings of Sinn & Bedeutung, 15, 581â€“595.",Proceedings of Sinn & Bedeutung,1,2011,9,0,0,1,0,0,1,conceptual,German,NA,3,NA,NA
"Slioussar, Natalia",Processing of a Free Word Order Language: The Role of Syntax and Context,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"In languages with flexible constituent order (so-called free word order languages), available orders are used to encode given/new distinctions; they therefore differ not only syntactically, but also in their context requirements. In Experiment 1, using a self-paced reading task, we compared Russian S V IO DO (canonical), DO S V IO and DO IO V S constructions in appropriate vs. inappropriate contexts (those that violated their context requirements). The context factor was significant, while the syntax factor was not. The less pronounced context effect evidenced in previous studies (e. g., Kaiser and Trueswell in Cognitioin 94: 113-147, 2004) might be due to the use of shorter target sentences and less extensive contexts. We also demonstrated that the slow-down starts at the first contextually inappropriate constituent, which shows that the information about context requirements is taken into account immediately, but that it develops faster on preverbal subjects and postverbal indirect objects (occupying their canonical positions) than on preverbal indirect objects (occupying a noncanonical position, or scrambled). In Experiment 2, these findings were replicated for IO S V DO and IO DO V S orders. S V IO DO orders with a continuation were used to show that there is no additional effect of inappropriate context at the end of the sentence.",13,AUG,2011,40,4,291,306,,10.1007/s10936-011-9171-5,1,1,inner-paper replication,1,same,same,1,2011,0,0,0,1,0,1,0,conceptual,Russian,NA,13,,
"Steinhauer, K; Friederici, AD","Prosodic boundaries, comma rules, and brain responses: The closure positive shift in ERPs as a universal marker for prosodic phrasing in listeners and readers",JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"Just as the false comma in this sentence, shows punctuation can influence sentence processing considerably. Pauses and other prosodic cues in spoken language serve the same function of structuring the sentence in smaller phrases, However, surprisingly little effort has been spent on the question as to whether both phenomena rest on the same mechanism and whether they are equally efficient in guiding parsing decisions. In a recent study, we showed that auditory speech boundaries evoke a specific positive shift in the listeners' event-related brain potentials (ERPs) that indicates the sentence segmentation and resulting changes in the understanding of the utterance (Steinhauer et al., 1999a). Here, ive present three ERP reading experiments demonstrating that the human brain processes commas in a similar manner and that comma perception depends crucially on the reader's individual punctuation habits. Main results of the study are: (1) Commas can determine initial parsing as efficiently as speech boundaries because they trigger the same prosodic phrasing covertly, although phonological representations seem to be activated to a lesser extent. (2) Independent of the input modality, this phrasing is reflected online by the same ERP component, namely the Closure Positive Shift (CPS). (3) Both behavioral and ERP data suggest that comma processing varies with the readers' idiosyncratic punctuation habits. (4) A combined auditory and visual ERP experiment shows that the CPS is also elicited both by delexicalized prosody and while subjects replicate prosodic boundaries during silent reading. (5) A comma-induced reversed garden path turned out to be much more difficult than the classical garden path. Implications for psycholinguistic models and future ERP research are discussed.",126,MAY,2001,30,3,267,295,,10.1023/A:1010443001646,1,0,"different use of word ""replicate"": ""subjects replicate prosodic boundaries during silent reading""",0,,,,,NA,,,,,,,NA,,NA,126,,
"Tree, JEF; Meijer, PJA",Building syntactic structure in speaking,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"We investigated how people produce simple and complex phrases in speaking rising a newly developed immediate recall task. People read and tried to memorize a target sentence, then read a prime sentence, then did a distractor task involving the prime sentence Despite the delay and activity between memory and recall, people could still recall the target sentence although the syntactic form of the recalled sentence was influenced by the syntactic form of the prime sentence. This result replicates the syntactic priming effect found with other experimental paradigms. Using this task, we tested how people used abstract syntactic plans to produce simple and complex noun phrases. We found syntactic priming both when targets and prime sentences matched in complexity and when they did not match, suggesting that simple and complex noun phrases are built by the same syntactic routines during speech production.",32,JAN,1999,28,1,71,92,,10.1023/A:1023239604158,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,32,,
"Wallentin, Mikkel; Rocca, Roberta; Stroustrup, Sofia","Grammar, Gender and Demonstratives in Lateralized Imagery for Sentences",JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"We investigated biases in the organization of imagery by asking participants to make stick-figure drawings of sentences containing a man, a woman and a transitive action (e.g. she kisses that guy). Previous findings show that prominent features of meaning and sentence structure are placed to the left in drawings, according to reading direction (e.g. Stroustrup and Wallentin in Lang Cogn 10(2):193-207, 2018. 10.1017/langcog.2017.19). Five hundred thirty participants listened to sentences in Danish and made eight drawings each. We replicated three findings: (1) that the first mentioned element is placed to the left more often, (2) that the agent in the sentence is placed to the left, and (3) that the grammatical subject is placed to the left of the object. We further tested hypotheses related to deixis and gender stereotypes. By adding demonstratives (e.g. Danish equivalents of this and that), that have been found to indicate attentional prominence, we tested the hypothesis that this is also translated into a left-ward bias in the produced drawings. We were unable to find support for this hypothesis. Analyses of gender biases tested the presence of a gender identification and a gender stereotype effect. According to the identification hypothesis, participants should attribute prominence to their own gender and draw it to the left, and according to the stereotype effect participants should be more prone to draw the male character to the left, regardless of own gender. We were not able to find significant support for either of the two gender effects. The combination of replications and null-findings suggest that the left-ward bias in the drawing experiment might be narrowly tied to left-to-right distribution in written language and less to overall prominence. No effect of handedness was observed.",3,AUG,2019,48,4,843,858,,10.1007/s10936-019-09634-1,1,1,replication of previous experiment by the same authors,0,"Stroustrup, S., & Wallentin, M. (2018). Grammatical category influences lateralized imagery for sentences. Language and Cognition, 10(2), 193â€“207. https ://doi.org/10.1017/langc og.2017.19.",Language and Cognition,1,2018,1,0,0,1,0,0,0,partial,Danish,NA,3,3,2
"Watt, SM; Murray, WS",Prosodic form and parsing commitments,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,"This paper enamines the question of whether there ave effects of prosody on the syntactic parsing of temporarily ambiguous sentences containing complement verbs. It reports the results of five experiments employing cross-modal response tasks where the visually presented target weld was either an 'appropriate' or an 'inappropriate' continuation in terms of the prosodic form of the preceeding auditory sentence fragment. Two experiments employing cross-modal naming only showed indications of sensitivity to syntactic and appropriateness manipulations when coupled with a simultaneous appropriateness judgment task. In contrast, the experiments employing cross-modal lexical decision showed greater sensitivity to syntactic and appropriateness effects. However, while the results from these studies replicated our earlier auditory parsing results and provided support for the suggestion that there are differences in visual and auditory parsing processes and for a 'constituent-based,' 'minimal commitment' type auditory parser, none of the studies demonstrated an effect of prosodic form on the parsing process.",28,MAR,1996,25,2,291,318,,10.1007/BF01708575,1,1,replication of previous experiment by the same authors,0,"Watt, S. M. (1992). The auditory parsing of complement sentences. Ph.D., University of Dundee.",NA,1,1992,4,0,0,1,0,0,0,partial,English,NA,28,NA,NA
"Barcroft, J; Sommers, MS",Effects of acoustic variability on second language vocabulary learning,STUDIES IN SECOND LANGUAGE ACQUISITION,"This study examined the effects of acoustic variability on second language vocabulary learning. English native speakers learned new words in Spanish. Exposure frequency to the words was constant. Dependent measures were accuracy and latency of picture-to-Spanish and Spanish-to-English recall. Experiment 1 compared presentation formats of neutral (conversational) voice only, three voice types, and six voice types. No significant differences emerged. Experiment 2 compared presentation formats of one speaker, three speakers, and six speakers. Vocabulary learning was superior in the higher-variability conditions. Experiment 3 partially replicated Experiment 1 while rotating voice types across subjects in moderate and no-variability conditions. Vocabulary learning was superior in the higher variability conditions, These results are consistent with an exemplar-based theory of initial lexical learning and representation.",66,SEP,2005,27,3,387,414,,10.1017/S0272263105050175,1,1,one of several experiments is a replication,0,"Barcroft, J (2001) Acoustic variation and lexical acquisition. Language Learning, 51, 563â€“590.",Language Learning,1,2001,4,0,0,0,1,0,1,conceptual,Spanish (with speakers of English),NA,66,9,3
"Ellis, Nick C.; Sagarra, Nuria",LEARNED ATTENTION IN ADULT LANGUAGE ACQUISITION A Replication and Generalization Study and Meta-Analysis,STUDIES IN SECOND LANGUAGE ACQUISITION,"This study investigates associative learning explanations of the limited attainment of adult compared to child language acquisition in terms of learned attention to cues. It replicates and extends Ellis and Sagarra (2010) in demonstrating short-and long-term learned attention in the acquisition of temporal reference in Latin. In Experiment 1, salient adverbs were better learned than less salient verb inflections, early experience of adverbial cues blocked the acquisition of verbal morphology, and, contrariwise-but to a lesser degree-early experience of tense reduced later learning of adverbs. Experiment 2 demonstrated long-term transfer: Native speakers of Chinese (no tense morphology) were less able than native speakers of Spanish or Russian (rich morphology) to acquire inflectional cues from the same language experience where adverbial and verbal cues were equally available. Learned attention to tense morphology in Latin was continuous rather than discrete, ordered with regard to first language: Chinese < English < Russian < Spanish. A meta-analysis of the combined results of Ellis and Sagarra and the current study separates out positive and negative learned attention effects: The average effect size for entrenchment was large (+ 1.23), whereas that for blocking was moderate (-0.52).",47,DEC,2011,33,4,589,624,,10.1017/S0272263111000325,1,1,one of several experiments is a replication,0,"Ellis , N. C. , & Sagarra , N. ( 2010 ). The bounds of adult language acquisition: Blocking and learned attention . Studies in Second Language Acquisition , 32 , 553 â€“ 580 .",Studies in Second Language Acquisition,1,2010,1,0,0,1,0,0,0,partial,Latin (with speakers of English),NA,47,54,1
"Henry, Nicholas; Culman, Hillah; VanPatten, Bill",MORE ON THE EFFECTS OF EXPLICIT INFORMATION IN INSTRUCTED SLA A Partial Replication and a Response to Fernandez (2008),STUDIES IN SECOND LANGUAGE ACQUISITION,"The role of explicit information (El) as an independent variable in instructed SLA is largely underresearched Using the framework of processing instruction, however, a series of offline studies has found no effect for El (e g, Benati, 2004; Sanz & Morgan-Short, 2004, VanPatten & Oikkenon, 1996) Fernandez (2008) presented two online experiments with mixed results She found an effect for El with processing instruction on one target structure (subjunctive in Spanish) but not the other structures (object pronouns and word order in Spanish), Thus, the effects of El could be related to the target structure or to a processing problem, or both The present study is a conceptual replication of one of Fernandez's experiments The target was German accusative case markings on articles with both subject (S)- verb (V)- object (0) and OVS word orders As shown by Jackson (2007) and LoCoco (1987), learners of German as a second language misinterpret OVS sentences as SVO, ignoring case markings as a cue of who does what to whom Thus. the goal of the instructional intervention was to push learners to process case markings and word order correctly The treatment consisted of structured input items (Farley, 2005, Lee & VanPatten, 2003) under two conditions +/-El Following Fernandez, the treatment was conducted via computer using e-Prime, and learners' responses were recorded as they made their vary through the items Whereas Fernandez did not find an effect for El for word order and object pronouns in Spanish, we found an effect for word order and case markings in German (a) Twice as many learners in the +El group reached criterion (began to process input strings correctly) compared with the -El group, and (b) learners in the +El group began processing word order and case markings sooner than in the -El group Even though the processing problem was the same in both Fernandez's and our experiments, we attribute the difference in results to the interaction of particular structures with the processing problem and call for additional research on the role of El rot just in processing instruction but in all formal interventions.",22,DEC,2009,31,4,559,575,,10.1017/S0272263109990027,1,1,replication in a different language,0,"FernÃ¡ndez , C . ( 2008 ). Reexamining the role of explicit information in processing instruction. Studies in Second Language Acquisition , 30 , 277 â€“ 305 .",Studies in Second Language Acquisition,0,2008,1,0,1,1,0,0,0,conceptual,German (with speakers of English; initial: Spanish),NA,22,59,3
"Hui, Bronson",PROCESSING VARIABILITY IN INTENTIONAL AND INCIDENTAL WORD LEARNING AN EXTENSION OF SOLOVYEVA AND DEKEYSER (2018),STUDIES IN SECOND LANGUAGE ACQUISITION,"I investigated the trajectory of processing variability, as measured by coefficient of variation (CV), using an intentional word learning experiment and reanalyzing published eye-tracking data of an incidental word learning study (Elgort et al., 2018). In the word learning experiment, native English speakers (N = 35) studied Swahili-English word pairs (k = 16) before performing 10 blocks of animacy judgment tasks. Results replicated the initial CV increase reported in Solovyeva and DeKeyser (2018) and, importantly, captured a roughly inverted U-shaped development in CV. In the reanalysis of eye-tracking data, I computed CVs based on reading times on the target and control words. Results did not reveal a similar inverted U-shaped development over time but suggested more stable processing of the high-frequency control words. Taken together, these results uncovered a fuller trajectory in CV development, differences in processing demands for different aspects of word knowledge, and the potential use of CV with eye-tracking research.",0,MAY,2020,42,2,327,357,PII S0272263119000603,10.1017/S0272263119000603,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,0,,
"Robinson, P","Cognitive abilities, chunk-strength, and frequency effects in implicit artificial grammar and incidental L2 learning: Replications of Reber, Walkenfeld, and Hernstadt (1991) and Knowlton and Squire (1996) relevance and their for SLA",STUDIES IN SECOND LANGUAGE ACQUISITION,"This paper reports replications of studies of implicit artificial grammar (AG) learning and explicit series-solution learning with experienced second language learners in order to examine their population and content generalizability. As found by Reber, Walkenfeld, and Hernstadt (1991), there was significantly greater variance in explicit compared to implicit learning. In contrast to Reber et al.'s findings, intelligence quotient (IQ) was significantly negatively related to implicit learning. As found by Knowlton and Squire (1996), chunks that appeared with high frequency (high chunk-strength) in AG training influenced incorrect acceptance of ungrammatical transfer test items containing them but did not affect the judgments of grammatical items. In a third experiment, learners semantically processed sentences in Samoan, a novel language for this population. This experiment found little evidence for the content generalizability of these AG findings to the incidental learning of Samoan. Implicit AG and incidental Samoan learning had different patterns of correlation with cognitive abilities (10, working memory, and aptitude) and differed in sensitivity to chunk-strength. As found for AG learning, high chunk-strength negatively affected correct rejection of ungrammatical Samoan transfer test items. Additionally, high chunk-strength negatively affected correct acceptance of grammatical items. For these grammatical items, the number of chunks they contained - not their frequency during training - positively influenced grammaticality judgments.",74,JUN,2005,27,2,235,268,,10.1017/S0272263105050126,0,0,meta-level; report about replications,0,,,,,NA,,,,,,,NA,,NA,74,,
"Suzuki, Yuichi",THE ROLE OF PROCEDURAL LEARNING ABILITY IN AUTOMATIZATION OF L2 MORPHOLOGY UNDER DIFFERENT LEARNING SCHEDULES AN EXPLORATORY STUDY,STUDIES IN SECOND LANGUAGE ACQUISITION,"This paper reports on the reanalysis of Suzuki's (2017) experiment and investigated the extent to which learning schedules influence automatization of second language (L2) morphology. Sixty participants were separated into two groups, which studied morphological rules for oral production under short-spacing (3.3-day intervals) and long-spacing learning conditions (7-day intervals). Their oral production test performance resulted in two measures of automatization: reaction time (RD as an index of speedup and coefficient of variance (CV) as an index of stability/restructuring. The results showed that, while RT of both groups declined significantly after the training, the 3.3-day group exhibited greater propensity for restructuring than the 7-day group. Furthermore, procedural learning ability measured by the Tower of London task was significantly associated with RT, but not with CV, in the 3.3-day group only. These findings suggest that learning schedules and procedural learning ability influence different stages of automatization of L2 morphological learning.",4,DEC,2018,40,4,923,937,,10.1017/S0272263117000249,1,0,reporting a replication success,0,,,,,NA,,,,,,,NA,,NA,4,,
"Wong, Wynne; Ito, Kiwako",THE EFFECTS OF PROCESSING INSTRUCTION AND TRADITIONAL INSTRUCTION ON L2 ONLINE PROCESSING OF THE CAUSATIVE CONSTRUCTION IN FRENCH: AN EYE-TRACKING STUDY,STUDIES IN SECOND LANGUAGE ACQUISITION,"While previous research has shown that processing instruction (PI) can more effectively facilitate the acquisition of target structures than traditional drill practice, the processing mechanism of PI has not been adequately examined because most assessment tasks have been offline. Using eye-tracking, this two-experiment study compared changes in processing patterns between two types of training: PI and traditional instruction (TI) on intermediate-level L2 learners' acquisition of the French causative. Both experiments used a pretraining/posttraining design involving a dichotomous scene selection eye-tracking task to measure eye-movement patterns and accuracy in picture selection while participants processed auditory sentences. Neither group received explicit information (EI) in Experiment 1 while both experimental groups in Experiment 2 received EI before processing sentences. Results of Experiment 1 revealed the PI group had significantly higher accuracy scores than the TI group. A change in eye-movement pattern was also observed after training for the PI group but not for the TI group. In Experiment 2, when both groups received EI, PI subjects were again significantly more accurate than TI subjects, but both groups' accuracy scores were not reliably higher than subjects in the PI and TI groups in Experiment 1 who did not receive EI. Eye-movement patterns in Experiment 2 showed that both TI and PI started to shift their gaze to the correct picture at the same point as PI subjects did in Experiment 1. This suggests that EI helped the TI group start entertaining the correct picture as a possible response sooner but the EI did not help the PI group process the target structure sooner than the TI group.",6,JUN,2018,40,2,241,268,,10.1017/S0272263117000274,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,6,,
"Campbell, JD; Katz, AN",On reversing the topics and vehicles of metaphor,METAPHOR AND SYMBOL,"Class inclusion theory asserts that one cannot reverse the topic and vehicle of a metaphor and produce a new, meaningful metaphor that is based on the same interpretive ground. In 2 experiments we test that claim. In Study I we replicate the procedures employed by Glucksberg, McGlone, & Manfredi (1997) that provided support for the assertion. However we now add experimental conditions in which the target metaphors, either with the topic and vehicle in its canonical order or reversed, are placed in discourse contexts that provide support for a meaningful interpretation based on the same ground. In contrast to the prediction of class inclusion theory, fully 72% of the cases the reversed metaphors were rated as interpretable and interpretation was based on the same ground used in interpreting the metaphors in their canonical order. In Study 2, the online processing of the metaphors in context are examined in a word-by-word reading task. We find that canonical and reversed order metaphors were read at the same rate throughout and both sets exhibited the same reading patterns: increased reading time of the noun-phrase (NP) that contains the metaphoric vehicle and of the first word in the text that follows the metaphor. We take these data to indicate that nonreversibility cannot be taken as a necessary condition of metaphor.",14,,2006,21,1,1,22,,10.1207/s15327868ms2101_1,1,1,one of several experiments is a replication,0,"Glucksberg, S., McGlone, M. S., & Manfredi, D. (1997). Property attribution in metaphor comprehension. Journal of Memory and Language, 36, 50â€“67.",Journal of Memory and Language,0,1997,9,0,0,1,0,1,0,conceptual,English,NA,14,149,51
"Flusberg, Stephen J.; Lauria, Mark; Balko, Samuel; Thibodeau, Paul H.",Effects of Communication Modality and Speaker Identity on Metaphor Framing,METAPHOR AND SYMBOL,"People regularly encounter metaphors in a variety of different communicative settings, but most studies of metaphor framing have relied exclusively on written materials. Across three experiments (N= 2399), we examined the relative power of metaphor framing in different communication formats. Participants read, heard, or watched someone report a series of metaphorically framed issues. They answered a target question about each issue by selecting between two response options, one of which was conceptually congruent with the metaphor frame. Results revealed a similarly-sized metaphor framing effect in each communication modality. Neither speaker gender nor race reliably moderated the effects of metaphor framing for audiovisual messages, though framing effects were stronger when the gender of the speaker and observer matched. We also replicated the finding that metaphors are more effective when they are extended into the response option language. These results provide new insights into the efficacy and generalizability of metaphor framing.",0,Apr.-02,2020,35,2,136,152,,10.1080/10926488.2020.1767336,1,1,inner-paper replication,0,same,same,1,2020,0,0,0,1,0,0,0,partial,English,NA,0,,
"Walker, Esther J.; Bergen, Benjamin K.; Nunez, Rafael",Disentangling Spatial Metaphors for Time Using Non-spatial Responses and Auditory Stimuli,METAPHOR AND SYMBOL,"While we often talk about time using spatial terms, experimental investigation of space-time associations has focused primarily on the space in front of the participant. This has had two consequences: the disregard of the space behind the participant (exploited in language and gesture) and the creation of potential task demands produced by spatialized manual button-presses. We introduce and test a new paradigm that uses auditory stimuli and vocal responses to address these issues. Participants made temporal judgments about deictic or sequential relationships presented auditorily along a body-centered sagittal or transversal axis. Results involving the transversal axis replicated previous work while sagittal axis results were surprising. Deictic judgments did not use the sagittal axis but sequential judgments did, in a previously undocumented way. Participants associated earlier judgments with the space in front of them and later judgments with the space behind them. These findings, using a new approach, provide evidence that different time concepts recruit space differently, mediated by meaning, stimulus modality and response mode.",8,,2014,29,4,316,327,,10.1080/10926488.2014.948801,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,8,,
